From	To
P68104	CCDS4980.1
P13639	CCDS12117.1
P07437	CCDS4687.1
P63261	CCDS11782.1
P60709	CCDS5341.1
P07900	CCDS32160.1
P07900	CCDS9967.1
P68371	CCDS7039.1
P08238	CCDS4909.1
P0DMV8	CCDS34414.1
P0DMV9	CCDS34415.1
P08670	CCDS7120.1
Q9BVA1	CCDS4485.1
Q13885	CCDS4484.1
Q14204	CCDS9966.1
P04350	CCDS12168.1
P49327	CCDS11801.1
P06733	CCDS97.1
P68363	CCDS31792.1
P78527	CCDS75734.1
P78527	CCDS75735.1
P10809	CCDS33357.1
Q71U36	CCDS58226.1
Q71U36	CCDS58227.1
Q71U36	CCDS8781.1
Q00610	CCDS32696.1
P04406	CCDS58201.1
P04406	CCDS8549.1
Q05639	CCDS13522.1
P11142	CCDS44754.1
P11142	CCDS8440.1
Q9BQE3	CCDS8782.1
Q13509	CCDS10988.1
Q13509	CCDS56012.1
P14618	CCDS32284.1
P14618	CCDS32285.1
P35579	CCDS13927.1
P68366	CCDS2438.1
P68366	CCDS63131.1
P0DPH7	CCDS9284.1
P0DPH8	CCDS33290.1
Q6PEY2	CCDS2158.1
P09874	CCDS1554.1
P78371	CCDS55843.1
P78371	CCDS8991.1
P68032	CCDS10041.1
P68133	CCDS1578.1
P09651	CCDS41793.1
P09651	CCDS44909.1
Q08211	CCDS41444.1
Q6S8J3	CCDS46414.1
P07814	CCDS31027.1
P04075	CCDS10668.1
P04075	CCDS58450.1
P22314	CCDS14275.1
Q3ZCM7	CCDS7051.1
Q00839	CCDS31081.1
Q00839	CCDS41479.1
Q9NY65	CCDS13751.1
Q9NY65	CCDS54495.1
A6NNZ2	CCDS86657.1
P22626	CCDS43557.1
P22626	CCDS5397.1
P62736	CCDS7392.1
P63267	CCDS1930.1
P63267	CCDS56124.1
Q9BUF5	CCDS11858.1
P14625	CCDS9094.1
P52272	CCDS12203.1
P52272	CCDS12204.1
P60842	CCDS11113.1
P60842	CCDS58511.1
P07195	CCDS8691.1
P12277	CCDS9981.1
O75643	CCDS2020.1
P50990	CCDS33528.1
P50990	CCDS68180.1
P50990	CCDS68181.1
P21333	CCDS44021.1
P21333	CCDS48194.1
P55072	CCDS6573.1
P00338	CCDS44549.1
P00338	CCDS53609.1
P00338	CCDS53610.1
P00338	CCDS53611.1
P00338	CCDS7839.1
Q9Y490	CCDS35009.1
P06748	CCDS43399.1
P06748	CCDS4376.1
P06748	CCDS4377.1
P35580	CCDS11144.1
P35580	CCDS58515.1
P35580	CCDS73984.1
P48643	CCDS3877.1
P48643	CCDS82990.1
P27708	CCDS1742.1
P62258	CCDS11001.1
P11021	CCDS6863.1
O75369	CCDS2885.1
O75369	CCDS54599.1
O75369	CCDS54600.1
O75369	CCDS54601.1
P34932	CCDS4166.1
Q32P51	CCDS31980.1
Q13813	CCDS48036.1
Q13813	CCDS6905.1
Q13813	CCDS75914.1
P60174	CCDS53740.1
P60174	CCDS58206.1
P60174	CCDS8566.1
P62937	CCDS5494.1
P62937	CCDS75592.1
P19338	CCDS33397.1
P06576	CCDS8924.1
Q14152	CCDS7608.1
P42704	CCDS33189.1
P11586	CCDS9763.1
P00558	CCDS14438.1
P26641	CCDS44626.1
Q14697	CCDS41656.1
Q14697	CCDS8026.1
P05141	CCDS14578.1
P13010	CCDS2402.1
P34931	CCDS34413.1
Q99832	CCDS42696.1
Q99832	CCDS46336.1
Q99832	CCDS54366.1
Q99832	CCDS54367.1
P49368	CCDS1140.2
P49368	CCDS30888.1
Q06830	CCDS522.1
Q92616	CCDS41847.1
P46940	CCDS10362.1
A5A3E0	CCDS46409.1
P22102	CCDS13627.1
P22102	CCDS13628.1
Q92841	CCDS33646.1
P61978	CCDS6667.1
P61978	CCDS6668.1
P61978	CCDS94426.1
Q6P2Q9	CCDS11010.1
P53396	CCDS11412.1
P53396	CCDS11413.1
P25705	CCDS11927.1
P25705	CCDS58620.1
P25705	CCDS59315.1
P17987	CCDS5269.1
P63244	CCDS34324.1
P12236	CCDS14114.1
P17844	CCDS11659.1
P36578	CCDS10218.1
O43707	CCDS12518.1
P50991	CCDS33206.1
P50991	CCDS58711.1
P55060	CCDS13412.1
P55060	CCDS58773.1
Q14974	CCDS11513.1
Q14974	CCDS62228.1
P11940	CCDS6289.1
Q7Z6Z7	CCDS35301.1
P40227	CCDS34640.1
P40227	CCDS5523.1
P29401	CCDS2871.1
P29401	CCDS58834.1
P31948	CCDS60827.1
P31948	CCDS60828.1
P31948	CCDS8058.1
P0CG38	CCDS59431.1
P12956	CCDS14021.1
P12956	CCDS74870.1
P38646	CCDS4208.1
P07237	CCDS11787.1
P54886	CCDS31257.1
P54886	CCDS7443.1
Q01082	CCDS33198.1
Q01082	CCDS33199.1
P30101	CCDS10101.1
P13797	CCDS14568.1
P13797	CCDS78499.1
P53621	CCDS1202.1
P53621	CCDS41424.1
Q92598	CCDS66525.1
Q92598	CCDS66526.1
Q92598	CCDS9340.1
P54577	CCDS368.1
P07737	CCDS11061.1
Q86VP6	CCDS8977.1
Q02790	CCDS8512.1
P62826	CCDS9271.1
P39023	CCDS13988.1
P27824	CCDS4447.1
P27824	CCDS93840.1
O00410	CCDS31999.2
P18669	CCDS7458.1
P14174	CCDS13819.1
P49411	CCDS10642.1
P61247	CCDS3775.1
Q15393	CCDS10894.1
P41252	CCDS6694.1
P12235	CCDS34114.1
P31943	CCDS4446.1
P22392	CCDS11580.1
P49588	CCDS32474.1
Q7KZF4	CCDS34747.1
Q92499	CCDS1686.1
O00571	CCDS43931.1
O00571	CCDS55404.1
P06744	CCDS12437.1
P06744	CCDS54246.1
P62917	CCDS6433.1
O14980	CCDS33205.1
P31939	CCDS2398.1
O43143	CCDS33966.1
P40926	CCDS5581.1
P40926	CCDS64691.1
Q04637	CCDS3259.1
Q04637	CCDS3260.1
Q04637	CCDS3261.1
Q04637	CCDS46970.2
Q04637	CCDS54687.1
Q04637	CCDS54688.1
Q04637	CCDS77866.1
P63104	CCDS6290.1
Q15233	CCDS14410.1
Q15233	CCDS55445.1
Q9H4B7	CCDS13475.1
Q09666	CCDS31584.1
Q09666	CCDS44625.1
P63241	CCDS11099.1
P63241	CCDS45601.1
Q15029	CCDS11489.1
Q15029	CCDS45707.1
Q15029	CCDS59295.1
O75533	CCDS33356.1
O75533	CCDS46479.1
Q12906	CCDS12246.1
Q12906	CCDS12247.1
Q12906	CCDS45965.1
Q12906	CCDS45966.1
Q12906	CCDS45967.1
P22234	CCDS47060.1
P22234	CCDS47061.1
Q13838	CCDS4697.1
P08133	CCDS47315.1
P08133	CCDS54941.1
P12814	CCDS45129.1
P12814	CCDS45130.1
P12814	CCDS9792.1
P23528	CCDS8114.1
Q15149	CCDS43769.1
Q15149	CCDS43770.1
Q15149	CCDS43771.1
Q15149	CCDS43772.1
Q15149	CCDS43773.1
Q15149	CCDS43774.1
Q15149	CCDS43775.1
Q15149	CCDS47936.1
P00505	CCDS10801.1
P00505	CCDS67045.1
Q14839	CCDS8552.1
Q14240	CCDS3282.1
P15531	CCDS11578.1
P15531	CCDS11579.1
P05023	CCDS53351.1
P05023	CCDS53352.1
P05023	CCDS887.1
P23246	CCDS388.1
Q9UQ80	CCDS8902.1
O43175	CCDS904.1
P04181	CCDS53586.1
P04181	CCDS7639.1
Q14008	CCDS31477.1
Q14008	CCDS7924.1
P30153	CCDS12849.1
P50395	CCDS44352.1
P50395	CCDS7071.1
P15311	CCDS5258.1
P49792	CCDS2079.1
Q9BXJ9	CCDS43270.1
P13667	CCDS5893.1
P17066	CCDS1231.1
Q8NC51	CCDS30746.1
Q8NC51	CCDS30747.1
Q8NC51	CCDS30748.1
Q8NC51	CCDS639.1
P62701	CCDS14418.1
P55884	CCDS5332.1
Q13283	CCDS4319.1
P54136	CCDS4367.1
Q12931	CCDS10508.1
Q12931	CCDS61824.1
Q5T4S7	CCDS189.1
O15067	CCDS11136.1
O60506	CCDS5005.1
O60506	CCDS55041.1
O60506	CCDS93967.1
P53618	CCDS7815.1
P09429	CCDS9335.1
P00918	CCDS6239.1
P12268	CCDS2786.1
Q9P2J5	CCDS34265.1
Q9P2J5	CCDS83029.1
Q9NU22	CCDS5024.1
P43243	CCDS54908.1
Q13200	CCDS3258.1
Q13200	CCDS63853.1
Q13200	CCDS63854.1
P23396	CCDS58161.1
P23396	CCDS8236.1
P23526	CCDS13233.1
P23526	CCDS54457.1
P26038	CCDS14382.1
Q9BQG0	CCDS11046.1
Q9BQG0	CCDS42238.1
P62424	CCDS6965.1
Q9NR30	CCDS31211.1
Q9NR30	CCDS73144.1
P08758	CCDS3720.1
P27348	CCDS1666.1
