From	To
P06733	CCDS97.1
P54652	CCDS9766.1
Q9UQ80	CCDS8902.1
P04406	CCDS58201.1
P04406	CCDS8549.1
Q6UB35	CCDS5228.1
Q6UB35	CCDS56457.1
P30048	CCDS7611.1
P60709	CCDS5341.1
P0DMV8	CCDS34414.1
P09429	CCDS9335.1
P27695	CCDS9550.1
P62753	CCDS6492.1
P10809	CCDS33357.1
P14618	CCDS32284.1
P14618	CCDS32285.1
Q8NC51	CCDS30746.1
Q8NC51	CCDS30747.1
Q8NC51	CCDS30748.1
Q8NC51	CCDS639.1
Q8NFF5	CCDS1078.1
Q8NFF5	CCDS1079.1
Q8NFF5	CCDS53371.1
Q8NFF5	CCDS53372.1
P0CG47	CCDS11177.1
P04350	CCDS12168.1
Q15717	CCDS12193.1
Q9NXE4	CCDS2156.2
Q9NXE4	CCDS54398.1
Q99459	CCDS4912.1
P23528	CCDS8114.1
P47813	CCDS14196.1
P13639	CCDS12117.1
P61247	CCDS3775.1
P08670	CCDS7120.1
P15531	CCDS11578.1
P15531	CCDS11579.1
Q6IS14	CCDS53546.1
Q12840	CCDS8945.1
Q13162	CCDS14206.1
P31943	CCDS4446.1
P19367	CCDS7289.1
P19367	CCDS7291.1
P19367	CCDS7292.1
Q9Y6C9	CCDS7943.1
P13929	CCDS11062.1
P13929	CCDS54070.1
P48637	CCDS13245.1
Q9UHL9	CCDS47613.1
Q9UHL9	CCDS5571.1
Q9UHL9	CCDS56492.1
P11021	CCDS6863.1
Q99714	CCDS14354.1
Q99714	CCDS35300.1
P49675	CCDS6102.1
P07737	CCDS11061.1
Q92841	CCDS33646.1
P06576	CCDS8924.1
P04114	CCDS1703.1
Q5HY92	CCDS2221.2
Q9Y6V7	CCDS12390.1
P46013	CCDS53588.1
P46013	CCDS7659.1
Q9C0C6	CCDS9855.1
P12270	CCDS41446.1
P17987	CCDS5269.1
O75038	CCDS59959.1
P62195	CCDS11645.1
P62195	CCDS56043.1
O94776	CCDS8022.1
O94776	CCDS81576.1
O95677	CCDS43506.1
O95677	CCDS5165.1
O95677	CCDS75523.1
Q96RL7	CCDS47983.1
Q96RL7	CCDS55321.1
Q96RL7	CCDS6655.1
Q96RL7	CCDS6656.1
Q92616	CCDS41847.1
O00273	CCDS118.1
O00273	CCDS119.1
Q92597	CCDS34945.1
Q92597	CCDS59113.1
P40145	CCDS6363.1
Q14449	CCDS2222.1
Q14449	CCDS92883.1
Q8TAT5	CCDS3828.1
P07949	CCDS53525.1
P07949	CCDS7200.1
Q9HCE0	CCDS11926.2
Q96IV0	CCDS33719.1
Q96IV0	CCDS46777.1
Q96IV0	CCDS46778.1
Q96IV0	CCDS46779.1
Q9ULD9	CCDS34219.1
Q96FM1	CCDS32641.1
Q96FM1	CCDS77013.1
Q96FM1	CCDS77015.1
O60662	CCDS2234.1
P51172	CCDS44037.2
P10745	CCDS73119.1
Q9ULJ3	CCDS13678.1
Q9ULJ3	CCDS42934.1
P10075	CCDS6398.1
Q12851	CCDS8082.1
Q12851	CCDS81582.1
B7Z1M9	CCDS44224.1
Q06418	CCDS10080.1
P78527	CCDS75734.1
P78527	CCDS75735.1
P50454	CCDS8239.1
P10412	CCDS4586.1
Q9H611	CCDS10195.2
Q9H611	CCDS66797.1
P62277	CCDS7823.1
Q6ZVK8	CCDS75706.1
O00519	CCDS535.1
Q8NDB2	CCDS34038.1
Q8NDB2	CCDS47115.1
Q8NDB2	CCDS47116.1
P05387	CCDS7717.1
Q86UV5	CCDS30623.1
Q86UV5	CCDS44084.1
Q86UV5	CCDS81277.1
Q9Y2P4	CCDS4145.1
P40926	CCDS5581.1
P40926	CCDS64691.1
Q9H0X9	CCDS31343.1
Q9H0X9	CCDS31344.1
Q86VP6	CCDS8977.1
Q96M91	CCDS11940.2
P49356	CCDS9769.1
P34932	CCDS4166.1
Q8N3K9	CCDS47238.1
Q15063	CCDS45034.1
Q15063	CCDS53864.1
Q15063	CCDS66530.1
Q15063	CCDS66531.1
Q15063	CCDS9364.1
Q9BPX6	CCDS55714.1
Q9BPX6	CCDS55715.1
Q16543	CCDS12237.1
Q09161	CCDS6728.1
Q1KMD3	CCDS41659.1
P63244	CCDS34324.1
Q17RS7	CCDS1691.1
Q7L5N7	CCDS10753.1
P29317	CCDS169.1
Q02383	CCDS13346.1
Q9NPB3	CCDS8170.1
Q8IV48	CCDS5972.1
O75628	CCDS13181.1
Q09666	CCDS31584.1
Q09666	CCDS44625.1
P98174	CCDS14359.1
P08238	CCDS4909.1
P27797	CCDS12288.1
Q13724	CCDS42700.1
Q13724	CCDS54370.1
Q9P225	CCDS32551.1
Q9P225	CCDS76937.1
O60423	CCDS45901.1
O60423	CCDS54196.1
P51790	CCDS34100.1
P51790	CCDS34101.1
P51790	CCDS58932.1
Q7Z392	CCDS34112.1
Q7Z392	CCDS47166.1
P49756	CCDS32113.1
Q9HCM9	CCDS34377.1
Q9HCM9	CCDS34378.1
Q9Y5Q9	CCDS2316.1
Q9Y5Q9	CCDS56153.1
P20585	CCDS34195.1
P40937	CCDS41843.2
P40937	CCDS9185.1
O60783	CCDS1316.1
Q9Y3E7	CCDS33236.1
Q9Y3E7	CCDS42707.1
Q9Y3E7	CCDS54375.1
P16260	CCDS7280.1
P14174	CCDS13819.1
P57721	CCDS42974.2
P57721	CCDS46652.1
P57721	CCDS86993.1
P57721	CCDS86994.1
Q6P6C2	CCDS42272.1
Q14CN2	CCDS41355.1
P13591	CCDS73385.1
P13591	CCDS73386.1
P13591	CCDS73387.1
P13591	CCDS73388.1
P10070	CCDS33283.1
Q13367	CCDS45331.1
Q13367	CCDS61736.1
Q13367	CCDS61737.1
Q96RE9	CCDS4311.2
Q96RE9	CCDS54939.1
Q96RE9	CCDS54940.1
P35232	CCDS11548.1
P35232	CCDS62244.1
P16298	CCDS44436.1
P16298	CCDS44437.1
P16298	CCDS7328.1
P48643	CCDS3877.1
P48643	CCDS82990.1
A0AVK6	CCDS7849.1
Q7Z5N4	CCDS34590.1
P53999	CCDS3897.1
Q2TAC2	CCDS11803.1
Q2TAC2	CCDS92419.1
Q96KE9	CCDS10002.2
Q96KE9	CCDS91955.1
O94851	CCDS60726.1
O94851	CCDS60727.1
O94851	CCDS7809.1
O94851	CCDS91442.1
O94851	CCDS91443.1
P17544	CCDS44905.1
P17544	CCDS44906.1
P17544	CCDS58238.1
P25391	CCDS32787.1
Q9H7E9	CCDS34974.1
Q14839	CCDS8552.1
Q9UBS9	CCDS1303.1
Q9UBS9	CCDS65726.1
Q8IVV2	CCDS45861.1
Q8IVV2	CCDS45862.1
Q8IVV2	CCDS54184.1
O94966	CCDS43090.1
O94966	CCDS56254.1
O94966	CCDS56255.1
O94966	CCDS56256.1
O94966	CCDS93271.1
Q6ZV70	CCDS14240.1
Q6ZV70	CCDS55398.1
Q9BZF3	CCDS2277.1
Q9BZF3	CCDS2278.1
Q9BZF3	CCDS56150.1
Q9BZF3	CCDS56151.1
Q9BZF3	CCDS56152.1
Q92990	CCDS738.1
Q04656	CCDS35339.1
Q04656	CCDS75997.1
Q14542	CCDS8137.1
P62879	CCDS5703.1
Q96AB3	CCDS12925.1
Q96AB3	CCDS46194.1
Q96AB3	CCDS46195.1
Q9H295	CCDS59111.1
Q9H295	CCDS6301.1
P31152	CCDS42437.1
O14980	CCDS33205.1
Q03001	CCDS47443.1
Q03001	CCDS4959.1
Q03001	CCDS93934.1
P82675	CCDS2010.1
P80365	CCDS10837.1
Q9NS18	CCDS1380.1
Q9NS18	CCDS1381.1
Q96C11	CCDS44155.1
Q96C11	CCDS58003.1
Q96C11	CCDS60155.1
Q96C11	CCDS611.2
A9QM74	CCDS47651.1
Q96JQ0	CCDS7771.1
Q8N3C7	CCDS1770.1
Q8N3C7	CCDS74502.1
Q8TEY7	CCDS678.1
Q8TEY7	CCDS679.1
Q8TEY7	CCDS680.1
Q8IV36	CCDS32726.1
Q96HS1	CCDS53845.1
Q96HS1	CCDS9280.1
Q7LBC6	CCDS34242.1
Q9Y5E3	CCDS4248.1
Q96PC5	CCDS58316.1
Q96PC5	CCDS58317.1
Q96PC5	CCDS86384.1
Q96PC5	CCDS86385.1
Q96PC5	CCDS86386.1
Q96PC5	CCDS9672.1
Q96PC5	CCDS9673.1
Q96PC5	CCDS9674.1
Q96PC5	CCDS9675.1
Q96PC5	CCDS9676.1
Q8N5A5	CCDS13534.1
Q8N5A5	CCDS13535.1
Q8N5A5	CCDS56203.1
Q8NEZ4	CCDS5931.1
P54105	CCDS8252.1
Q562E7	CCDS54061.1
Q562E7	CCDS54062.1
Q562E7	CCDS54063.1
Q9P1Q0	CCDS33208.1
Q9P1Q0	CCDS46302.1
Q8IUG5	CCDS54507.1
Q8IUG5	CCDS82703.1
Q14344	CCDS11661.1
Q14344	CCDS62302.1
Q68CL5	CCDS32817.1
Q68CL5	CCDS62421.1
Q68CL5	CCDS62422.1
Q68CL5	CCDS62423.1
Q68CL5	CCDS62424.1
Q9Y566	CCDS12799.1
O75369	CCDS2885.1
O75369	CCDS54599.1
O75369	CCDS54600.1
O75369	CCDS54601.1
Q8NFD2	CCDS44734.1
Q99611	CCDS42150.1
A0JNW5	CCDS31882.1
A0JNW5	CCDS31883.1
Q9BWV7	CCDS5301.1
Q96CB8	CCDS3671.1
P50219	CCDS34788.1
P50219	CCDS55187.1
Q92918	CCDS42564.1
Q92918	CCDS59385.1
Q9BSE2	CCDS1138.1
Q16513	CCDS714.1
Q16513	CCDS81350.1
P11532	CCDS14229.1
P11532	CCDS14230.1
P11532	CCDS14231.1
P11532	CCDS14232.1
P11532	CCDS14233.1
P11532	CCDS14234.1
P11532	CCDS48091.1
P11532	CCDS55394.1
P11532	CCDS55395.1
P11532	CCDS94585.1
P11532	CCDS94586.1
Q53H76	CCDS2991.1
Q53H76	CCDS56268.1
Q53H76	CCDS56269.1
Q96PN6	CCDS1265.1
Q96PN6	CCDS53426.1
Q96PN6	CCDS72977.1
P26038	CCDS14382.1
P28907	CCDS3417.1
P17405	CCDS31409.2
P17405	CCDS44531.1
Q2WEN9	CCDS54278.1
P10071	CCDS5465.1
Q12834	CCDS484.1
P54132	CCDS10363.1
Q9ULX9	CCDS13968.1
Q9ULX9	CCDS54528.1
Q15120	CCDS14212.1
Q15120	CCDS48088.1
Q9BWM7	CCDS7508.3
Q9H8T0	CCDS10749.1
Q9H8T0	CCDS76866.1
Q9UIC8	CCDS45445.1
Q9UIC8	CCDS45446.1
Q9HCJ0	CCDS45799.1
Q96FA3	CCDS1876.1
